country_name,country_iso3,region_name,subregion,income_group,trajectory_score_2023,trajectory_score_2045,trajectory_change_2023_2045,rise_potential_score,momentum_score,momentum_band,forecast_score_completeness,quadrant
Guyana,GUY,Americas,South America,Upper middle income,0.24752912939442032,0.4934801676933055,0.24595103829888518,0.2496793673742024,0.23865181302035277,very_high,complete,Future Leaders
Czechia,CZE,Europe,Eastern Europe,High income,0.5589032348110982,0.5316752639824591,-0.027227970828639037,0.16924086325138818,0.08501342760673741,declining,complete,Future Leaders
Finland,FIN,Europe,Northern Europe,High income,0.6653171522058235,0.5985691785696011,-0.06674797363622242,0.16867303697592614,0.06777372207483844,declining,complete,Future Leaders
Sweden,SWE,Europe,Northern Europe,High income,0.6717266905461945,0.6057515885489392,-0.06597510199725531,0.16208542694788805,0.06310969167978003,declining,complete,Future Leaders
Austria,AUT,Europe,Western Europe,High income,0.6420180431348312,0.5800081681449424,-0.06200987498988886,0.16065350897575703,0.06465363247004642,declining,complete,Future Leaders
Norway,NOR,Europe,Northern Europe,High income,0.7680520244427087,0.6420999186064779,-0.12595210583623084,0.1606372346710118,0.03946833088973597,declining,complete,Future Leaders
Ireland,IRL,Europe,Northern Europe,High income,0.7562492328867906,0.6532428899335339,-0.10300634295325672,0.16057055260905653,0.04695123674569071,declining,complete,Future Leaders
Germany,DEU,Europe,Western Europe,High income,0.6371858436953811,0.5774324174291051,-0.059753426266276,0.15929093924746837,0.06460549949572153,declining,complete,Future Leaders
Estonia,EST,Europe,Northern Europe,High income,0.5491940105478521,0.5353044171157656,-0.013889593432086511,0.1590106424953957,0.08235739327533725,declining,complete,Future Leaders
France,FRA,Europe,Western Europe,High income,0.6261542366905475,0.5702115598967972,-0.05594267679375031,0.15797960480124598,0.06534626628770371,declining,complete,Future Leaders
Portugal,PRT,Europe,Southern Europe,High income,0.5494128710261897,0.5287462185434516,-0.020666652482738135,0.15741652594844271,0.07916465996049624,declining,complete,Future Leaders
Canada,CAN,Americas,Northern America,High income,0.6270250979952137,0.5631470719892145,-0.06387802600599912,0.15735404349966145,0.06244890310814866,declining,complete,Future Leaders
Spain,ESP,Europe,Southern Europe,High income,0.5700881489422992,0.5365099767204302,-0.033578172221868985,0.15721962376921067,0.07415842740837399,declining,complete,Future Leaders
United Kingdom,GBR,Europe,Northern Europe,High income,0.6254366443577469,0.5614298600571339,-0.06400678430061302,0.15502225510686182,0.06084886036701771,declining,complete,Future Leaders
New Zealand,NZL,Oceania,Australia and New Zealand,High income,0.6492239878881954,0.578064578376267,-0.07115940951192834,0.1530950933705595,0.05624786600328472,declining,complete,Future Leaders
Malta,MLT,Europe,Southern Europe,High income,0.5428737863694836,0.5165064646381651,-0.026367321731318505,0.14996586684668087,0.0725047532779977,declining,complete,Future Leaders
Japan,JPN,Asia,Eastern Asia,High income,0.5868008721514452,0.5570452979283489,-0.02975557422309627,0.14978225384696542,0.06936608830801641,declining,complete,Future Leaders
South Korea,KOR,Asia,Eastern Asia,High income,0.5725329892053355,0.5442010398701126,-0.028331949335222872,0.1491065778951811,0.06996937546514373,declining,complete,Future Leaders
Australia,AUS,Oceania,Australia and New Zealand,High income,0.6786493946215484,0.5940750951407394,-0.08457429948080897,0.1489851573069482,0.04795522601524736,declining,complete,Future Leaders
Chile,CHL,Americas,South America,High income,0.5084805351605728,0.4975148372518884,-0.010965697908684402,0.14779651438003058,0.0772313981216469,declining,complete,Future Leaders
Slovenia,SVN,Europe,Southern Europe,High income,0.5401047122632023,0.5105323403626423,-0.029572371900560057,0.14766113488512317,0.0700385089380713,declining,complete,Future Leaders
Poland,POL,Europe,Eastern Europe,High income,0.4298466445968274,0.4365290089532895,0.006682364356462078,0.1421203872946631,0.08217929322812786,stable,complete,Future Leaders
Denmark,DNK,Europe,Northern Europe,High income,0.7017495664545966,0.6090869201182391,-0.09266264633635757,0.14208481720199173,0.03961853441834833,declining,complete,Future Leaders
Switzerland,CHE,Europe,Western Europe,High income,0.7920973327240676,0.6295953356948968,-0.16250199702917079,0.13910736897862847,0.012167669218559815,declining,complete,Stable Advanced
Greece,GRC,Europe,Southern Europe,High income,0.4800141640396912,0.47185795244468726,-0.00815621159500396,0.1390095514078371,0.07321840406722367,stable,complete,Future Leaders
Italy,ITA,Europe,Southern Europe,High income,0.567674714480797,0.5239073941230021,-0.04376732035779485,0.1381482520185408,0.05780938155221528,declining,complete,Future Leaders
Belgium,BEL,Europe,Western Europe,High income,0.6250648595178591,0.5523488548778202,-0.07271600464003891,0.13547842961706713,0.044528600638431504,declining,complete,Future Leaders
Costa Rica,CRI,Americas,Central America,Upper middle income,0.4821375640694008,0.478309116744043,-0.003828447325357809,0.13325019892644063,0.07041127243115129,stable,complete,Future Leaders
Latvia,LVA,Europe,Northern Europe,High income,0.47505250922744524,0.46818822958349005,-0.006864279643955196,0.13249954372796816,0.06927871240293634,stable,complete,Future Leaders
Slovakia,SVK,Europe,Eastern Europe,High income,0.4731245364111921,0.46326283090831605,-0.009861705502876073,0.12915565754717484,0.06611053596614155,stable,complete,Future Leaders
Netherlands,NLD,Europe,Western Europe,High income,0.6476359959453527,0.5636335865849915,-0.08400240936036119,0.128846899299136,0.03542847483694418,declining,complete,Future Leaders
Lithuania,LTU,Europe,Northern Europe,High income,0.49280833951149783,0.4741195122582016,-0.018688827253296236,0.12868984688765464,0.0622064252310855,declining,complete,Future Leaders
Singapore,SGP,Asia,South-eastern Asia,High income,0.6196549831327757,0.555308335353727,-0.06434664777904864,0.12679705295360483,0.04124773525393867,declining,complete,Future Leaders
Iceland,ISL,Europe,Northern Europe,High income,0.7005697126718383,0.5827711042622482,-0.11779860840959011,0.126788355789149,0.021297636417246614,declining,complete,Stable Advanced
United States,USA,Americas,Northern America,High income,0.6583494294757335,0.551632193303916,-0.1067172361718175,0.12406750789832359,0.02467277417001419,declining,complete,Future Leaders
Croatia,HRV,Europe,Southern Europe,High income,0.445385784316186,0.44247933018418745,-0.002906454131998526,0.12030954448619553,0.06328785233584897,stable,complete,Future Leaders
Uruguay,URY,Americas,South America,High income,0.4744743055077705,0.4517329845741775,-0.02274132093359299,0.11495922190683686,0.05218400870219028,declining,complete,Future Leaders
Bulgaria,BGR,Europe,Eastern Europe,Upper middle income,0.3938755086490965,0.39754359398188654,0.003668085332790061,0.11446502347491196,0.06351988456973001,stable,complete,Future Leaders
Cyprus,CYP,Asia,Western Asia,High income,0.5146169740400699,0.4655574016228601,-0.04905957241720982,0.11079257590011402,0.039433869711027685,declining,complete,Future Leaders
Luxembourg,LUX,Europe,Western Europe,High income,0.8253445468560707,0.6331316573574202,-0.19221288949865056,0.11002273501300276,-0.018749521396509657,declining,complete,Stable Advanced
Panama,PAN,Americas,Central America,Upper middle income,0.39687866670753297,0.4022982800175969,0.005419613310063909,0.10355185793751902,0.05627974261399383,stable,complete,Future Leaders
Malaysia,MYS,Asia,South-eastern Asia,Upper middle income,0.34537028558644356,0.3576330291997495,0.012262743613305926,0.1015198085419711,0.059262339930048105,stable,complete,Future Leaders
Hungary,HUN,Europe,Eastern Europe,High income,0.36380385677950133,0.3631008653602269,-7.029914192744346E-4,0.10047959840992157,0.05375013294898884,stable,complete,Future Leaders
Brazil,BRA,Americas,South America,Upper middle income,0.3794701950904848,0.3755404236551931,-0.003929771435291718,0.09928084234636447,0.05122185057561936,stable,complete,Future Leaders
Georgia,GEO,Asia,Western Asia,Upper middle income,0.3499411305210875,0.36499325744557837,0.015052126924490872,0.0984444759586785,0.05775468100959574,stable,complete,Future Leaders
Argentina,ARG,Americas,South America,Upper middle income,0.40232061934495034,0.3924279760385092,-0.009892643306441129,0.09838947141542345,0.04775094591180912,stable,complete,Future Leaders
Barbados,BRB,Americas,Caribbean,High income,0.4644820400959061,0.4243747260295473,-0.04010731406635881,0.09765533997523344,0.035224315388108204,declining,complete,Future Leaders
Armenia,ARM,Asia,Western Asia,Upper middle income,0.36059040377326357,0.3581302026426658,-0.00246020113059775,0.09680813308424498,0.0507887636443423,stable,complete,Future Leaders
Mauritius,MUS,Africa,Eastern Africa,Upper middle income,0.3183195624267592,0.3483342399861965,0.03001467755943732,0.09557107807819021,0.06172985100115738,moderate,complete,Future Leaders
Albania,ALB,Europe,Southern Europe,Upper middle income,0.353905408115781,0.3588773599498828,0.004971951834101818,0.09489622418237328,0.05201805887185222,stable,complete,Future Leaders
Bosnia and Herzegovina,BIH,Europe,Southern Europe,Upper middle income,0.31958336809013016,0.32703713920374167,0.007453771113611507,0.09366278719381976,0.053456099661269484,stable,complete,Future Leaders
United Arab Emirates,ARE,Asia,Western Asia,High income,0.435186420705129,0.4035143992002319,-0.03167202150489706,0.09150757937151645,0.034811950069337114,declining,complete,Future Leaders
Romania,ROU,Europe,Eastern Europe,High income,0.3671946174721428,0.36651991935644296,-6.746981156998677E-4,0.08661247034585198,0.04389918853056152,stable,complete,Future Leaders
Cabo Verde,CPV,Africa,Western Africa,Lower middle income,0.36691488598424327,0.36893039289044505,0.0020155069062017805,0.08656997783338663,0.04470254422047125,stable,complete,Future Leaders
Mongolia,MNG,Asia,Eastern Asia,Lower middle income,0.2999576832377728,0.3111586033398413,0.011200920102068523,0.08513903388283814,0.049515508603417815,stable,complete,Future Leaders
Kazakhstan,KAZ,Asia,Central Asia,Upper middle income,0.2935149511267858,0.2919659620212004,-0.0015489891055853744,0.08478455012978742,0.0456685706129423,stable,complete,Future Leaders
Peru,PER,Americas,South America,Upper middle income,0.36192243056929496,0.3591811939082009,-0.0027412366610940486,0.08369040046789461,0.04146069377027427,stable,complete,Future Leaders
Moldova,MDA,Europe,Eastern Europe,Upper middle income,0.32523175641646757,0.33051009665233827,0.005278340235870704,0.08161037076980542,0.04410172427206331,stable,complete,Future Leaders
Kuwait,KWT,Asia,Western Asia,High income,0.432361460115753,0.38262540488254404,-0.04973605523320895,0.08063683144898501,0.021820019462951902,declining,complete,Stable Advanced
Saudi Arabia,SAU,Asia,Western Asia,High income,0.3516633811855365,0.3461916480746082,-0.005471733110928301,0.07800868098104358,0.037112345934548235,stable,complete,Future Leaders
China,CHN,Asia,Eastern Asia,Upper middle income,0.29345764836147226,0.3029927056694126,0.009535057307940353,0.0772721986082184,0.04379313732840844,stable,complete,Future Leaders
Tunisia,TUN,Africa,Northern Africa,Lower middle income,0.2915339579351736,0.29940160645108016,0.007867648515906545,0.07579120484636281,0.04233444808272265,stable,complete,Future Leaders
Belarus,BLR,Europe,Eastern Europe,Upper middle income,0.24340769256936118,0.25260709251084507,0.009199399941483888,0.07449261987310282,0.043997304727703315,stable,complete,Rising Challengers
Serbia,SRB,Europe,Southern Europe,Upper middle income,0.29159158010004416,0.3104513250031661,0.018859744903121922,0.07424858560662666,0.04460461101558887,stable,complete,Future Leaders
Qatar,QAT,Asia,Western Asia,High income,0.5023392208588986,0.41025875311820903,-0.09208046774068956,0.07179231064533129,-4.35190147828831E-4,declining,complete,Stable Advanced
Jordan,JOR,Asia,Western Asia,Upper middle income,0.29397491561889766,0.2911678101865751,-0.002807105432322543,0.07087478446027703,0.035527310762485165,stable,complete,Future Leaders
Paraguay,PRY,Americas,South America,Upper middle income,0.2904888689956493,0.2885866647073856,-0.0019022042882637091,0.06884876519602075,0.03454196422448988,stable,complete,Future Leaders
Morocco,MAR,Africa,Northern Africa,Lower middle income,0.2746670129393198,0.27617603411554065,0.0015090211762208705,0.0672894729278571,0.035202866925977946,stable,complete,Rising Challengers
Oman,OMN,Asia,Western Asia,High income,0.33140975365365255,0.32130812398914566,-0.010101629664506895,0.06390233342913236,0.026737197438303693,declining,complete,Future Leaders
Mexico,MEX,Americas,Central America,Upper middle income,0.28855693154840373,0.2856289313097762,-0.0029280002386275483,0.06368062777664943,0.03069833745119504,stable,complete,Future Leaders
Jamaica,JAM,Americas,Caribbean,Upper middle income,0.33184804744438057,0.32076104591522125,-0.011087001529159313,0.0627747257094278,0.025627610395208746,declining,complete,Future Leaders
Bahrain,BHR,Asia,Western Asia,High income,0.3419322487289968,0.3297022351783901,-0.012230013550606711,0.06180688072022867,0.02414771117842017,declining,complete,Future Leaders
Kyrgyzstan,KGZ,Asia,Central Asia,Lower middle income,0.2377307362655087,0.23049791700480446,-0.007232819260704237,0.061781095208172813,0.03034287363925829,stable,complete,Rising Challengers
Libya,LBY,Africa,Northern Africa,Upper middle income,0.15471191150955715,0.21112706974061468,0.05641515823105753,0.05978128887049468,0.05209148945188874,high,complete,Rising Challengers
Dominican Republic,DOM,Americas,Caribbean,Upper middle income,0.286634252651779,0.292165075932748,0.005530823280968988,0.05826308118148513,0.02957251655840508,stable,complete,Future Leaders
Israel,ISR,Asia,Western Asia,High income,0.4882663997300708,0.41786500432481577,-0.07040139540525503,0.05580618512221483,1.6328388255881787E-4,declining,complete,Stable Advanced
Colombia,COL,Americas,South America,Upper middle income,0.3140522089407345,0.32060315110541093,0.006550942164676443,0.055763560864005815,0.028903846262847824,stable,complete,Future Leaders
South Africa,ZAF,Africa,Southern Africa,Upper middle income,0.25980043722013957,0.26083483429315857,0.001034397073019,0.05488844474719357,0.027046382755400025,stable,complete,Rising Challengers
