country_iso3,country_name,region,subregion,income_group,is_sovereign,trajectory_score_static_2045,trajectory_score_ml_2045,trajectory_score_delta_ml_minus_static,trajectory_rank_static_2045,trajectory_rank_ml_2045,trajectory_rank_delta_static_minus_ml
SLB,,,,,,0.12899472883278568,0.031893246435664685,-0.09710148239712099,188,218,-30
FSM,,,,,,0.10351383435768602,0.008059128122617498,-0.09545470623506852,199,225,-26
SOM,,,,,,0.034808270293605253,-0.05779522133889656,-0.09260349163250181,227,235,-8
TON,,,,,,0.15766121643695818,0.06613544810102154,-0.09152576833593665,173,205,-32
MHL,,,,,,0.09441998007135746,0.007430849492760086,-0.08698913057859738,203,226,-23
TUV,,,,,,0.09850213750763398,0.01467945726378328,-0.0838226802438507,200,222,-22
VUT,,,,,,0.14245197975231083,0.062312464777469614,-0.08013951497484122,178,207,-29
COD,,,,,,0.061291483897057714,-0.01859137274859382,-0.07988285664565153,219,231,-12
KIR,,,,,,0.09366904427572931,0.01448120376548756,-0.07918784051024175,204,223,-19
MDV,,,,,,0.26817230735785375,0.19093062871035416,-0.07724167864749959,83,138,-55
PNG,,,,,,0.09268783478841724,0.015783948591238342,-0.0769038861971789,205,221,-16
STP,,,,,,0.12985666738152524,0.055022567707376596,-0.07483409967414864,187,209,-22
TLS,,,,,,0.1154465432675245,0.04141148334861382,-0.07403505991891068,193,214,-21
WSM,,,,,,0.14169322589399203,0.07424507408330415,-0.06744815181068788,179,201,-22
PLW,,,,,,0.11180129214747199,0.044443459769485896,-0.0673578323779861,197,213,-16
NRU,,,,,,0.05936003342869077,-0.007356917592901857,-0.06671695102159263,220,229,-9
TGO,,,,,,0.07459494385613953,0.009755339062616997,-0.06483960479352253,214,224,-10
ATG,,,,,,0.2277326591960337,0.17188687401499478,-0.055845785181038915,108,155,-47
BLZ,Belize,Americas,Central America,Upper middle income,true,0.17122299813447622,0.11557639258971274,-0.055646605544763486,161,183,-22
PRK,,,,,,0.15469078417230867,0.10079615270276468,-0.053894631469543985,174,190,-16
BHS,Bahamas,Americas,Caribbean,High income,true,0.20764423774394267,0.15420824495291388,-0.053435992791028786,132,166,-34
SWZ,,,,,,0.08715977528906191,0.036427715119957765,-0.05073206016910414,208,217,-9
SYC,,,,,,0.19058733377107934,0.14109932524887586,-0.049488008522203475,143,172,-29
DMA,,,,,,0.13536209057889498,0.08664585689031878,-0.048716233688576194,184,195,-11
VCT,,,,,,0.16155127817992454,0.1150231296173596,-0.046528148562564944,169,184,-15
BRN,Brunei,Asia,South-eastern Asia,High income,true,0.2452277203673303,0.2058858388810201,-0.03934188148631018,94,127,-33
