country,hdi,year
Iceland,0.841,1990
Norway,0.856,1990
Switzerland,0.858,1990
Denmark,0.844,1990
Germany,0.834,1990
Sweden,0.818,1990
Australia,0.867,1990
"Hong Kong, China (SAR)",0.755,1990
Netherlands,0.855,1990
Belgium,0.824,1990
Ireland,0.776,1990
Finland,0.823,1990
Singapore,0.819,1990
United Kingdom,0.812,1990
United Arab Emirates,0.713,1990
Canada,0.865,1990
New Zealand,0.811,1990
United States,0.878,1990
Korea (Republic of),0.738,1990
Slovenia,0.734,1990
Austria,0.832,1990
Japan,0.853,1990
Malta,0.735,1990
Luxembourg,0.787,1990
France,0.798,1990
Israel,0.787,1990
Spain,0.766,1990
Czechia,0.753,1990
Italy,0.787,1990
Cyprus,0.749,1990
Greece,0.77,1990
Poland,0.722,1990
Estonia,0.738,1990
Saudi Arabia,0.67,1990
Bahrain,0.734,1990
Lithuania,0.745,1990
Portugal,0.707,1990
Latvia,0.736,1990
Qatar,0.767,1990
Slovakia,0.698,1990
Chile,0.718,1990
Hungary,0.73,1990
Argentina,0.733,1990
Uruguay,0.713,1990
Türkiye,0.598,1990
Kuwait,0.698,1990
Bulgaria,0.706,1990
Romania,0.719,1990
Panama,0.672,1990
Brunei Darussalam,0.781,1990
Kazakhstan,0.689,1990
Costa Rica,0.677,1990
Russian Federation,0.762,1990
Bahamas,0.762,1990
Malaysia,0.653,1990
North Macedonia,0.644,1990
Armenia,0.663,1990
Barbados,0.73,1990
Albania,0.654,1990
Trinidad and Tobago,0.661,1990
Mauritius,0.627,1990
Iran (Islamic Republic of),0.626,1990
Thailand,0.584,1990
China,0.491,1990
Peru,0.625,1990
Mexico,0.668,1990
Colombia,0.623,1990
Brazil,0.641,1990
Ukraine,0.75,1990
Ecuador,0.646,1990
Dominican Republic,0.589,1990
Guyana,0.494,1990
Sri Lanka,0.638,1990
Tonga,0.641,1990
Viet Nam,0.499,1990
Algeria,0.595,1990
Cuba,0.687,1990
Paraguay,0.607,1990
Egypt,0.572,1990
Jordan,0.619,1990
Saint Lucia,0.683,1990
Mongolia,0.593,1990
Tunisia,0.569,1990
South Africa,0.633,1990
Bolivia (Plurinational State of),0.552,1990
Gabon,0.621,1990
Botswana,0.59,1990
Fiji,0.629,1990
Indonesia,0.531,1990
Belize,0.617,1990
Libya,0.69,1990
Jamaica,0.662,1990
Kyrgyzstan,0.649,1990
Philippines,0.593,1990
Morocco,0.451,1990
Venezuela (Bolivarian Republic of),0.658,1990
Nicaragua,0.515,1990
Eswatini (Kingdom of),0.57,1990
Iraq,0.531,1990
Tuvalu,0.566,1990
Bangladesh,0.397,1990
India,0.446,1990
El Salvador,0.523,1990
Namibia,0.597,1990
Guatemala,0.499,1990
Congo,0.573,1990
Honduras,0.516,1990
Ghana,0.432,1990
Kenya,0.485,1990
Nepal,0.404,1990
Lao People's Democratic Republic,0.409,1990
Myanmar,0.347,1990
Cambodia,0.387,1990
Zimbabwe,0.5,1990
Zambia,0.422,1990
Cameroon,0.448,1990
Côte d'Ivoire,0.389,1990
Uganda,0.342,1990
Papua New Guinea,0.403,1990
Togo,0.412,1990
Syrian Arab Republic,0.572,1990
Mauritania,0.396,1990
Nigeria,0.379,1990
Tanzania (United Republic of),0.381,1990
Haiti,0.461,1990
Lesotho,0.483,1990
Pakistan,0.396,1990
Senegal,0.377,1990
Gambia,0.331,1990
Congo (Democratic Republic of the),0.388,1990
Malawi,0.306,1990
Benin,0.351,1990
Guinea,0.282,1990
Afghanistan,0.285,1990
Mozambique,0.246,1990
Yemen,0.359,1990
Sierra Leone,0.313,1990
Burundi,0.294,1990
Mali,0.24,1990
Niger,0.215,1990
Central African Republic,0.342,1990
Arab States,0.55,1990
East Asia and the Pacific,0.514,1990
Europe and Central Asia,0.674,1990
Latin America and the Caribbean,0.648,1990
South Asia,0.454,1990
Sub-Saharan Africa,0.405,1990
Iceland,0.902,2000
Norway,0.924,2000
Switzerland,0.892,2000
Denmark,0.896,2000
Germany,0.897,2000
Sweden,0.912,2000
Australia,0.897,2000
"Hong Kong, China (SAR)",0.839,2000
Netherlands,0.9,2000
Belgium,0.894,2000
Ireland,0.869,2000
Finland,0.898,2000
Singapore,0.882,2000
United Kingdom,0.87,2000
United Arab Emirates,0.79,2000
Canada,0.894,2000
Liechtenstein,0.882,2000
New Zealand,0.896,2000
United States,0.895,2000
Korea (Republic of),0.83,2000
Slovenia,0.829,2000
Austria,0.879,2000
Japan,0.889,2000
Malta,0.79,2000
Luxembourg,0.861,2000
France,0.852,2000
Israel,0.839,2000
Spain,0.833,2000
Czechia,0.817,2000
Italy,0.849,2000
San Marino,0.881,2000
Andorra,0.825,2000
Cyprus,0.808,2000
Greece,0.828,2000
Poland,0.801,2000
Estonia,0.793,2000
Saudi Arabia,0.737,2000
Bahrain,0.775,2000
Lithuania,0.778,2000
Portugal,0.797,2000
Croatia,0.769,2000
Latvia,0.764,2000
Qatar,0.795,2000
Slovakia,0.774,2000
Chile,0.771,2000
Hungary,0.781,2000
Argentina,0.789,2000
Uruguay,0.764,2000
Oman,0.707,2000
Türkiye,0.669,2000
Kuwait,0.778,2000
Bulgaria,0.733,2000
Romania,0.73,2000
Georgia,0.705,2000
Panama,0.718,2000
Brunei Darussalam,0.792,2000
Kazakhstan,0.692,2000
Costa Rica,0.72,2000
Serbia,0.701,2000
Russian Federation,0.75,2000
Belarus,0.724,2000
Bahamas,0.787,2000
Malaysia,0.733,2000
North Macedonia,0.686,2000
Armenia,0.667,2000
Barbados,0.762,2000
Albania,0.682,2000
Trinidad and Tobago,0.714,2000
Mauritius,0.683,2000
Bosnia and Herzegovina,0.674,2000
Iran (Islamic Republic of),0.71,2000
Saint Vincent and the Grenadines,0.7,2000
Thailand,0.657,2000
China,0.598,2000
Peru,0.682,2000
Azerbaijan,0.652,2000
Mexico,0.712,2000
Colombia,0.679,2000
Brazil,0.69,2000
Palau,0.736,2000
Ukraine,0.716,2000
Ecuador,0.683,2000
Dominican Republic,0.658,2000
Guyana,0.567,2000
Sri Lanka,0.702,2000
Tonga,0.688,2000
Maldives,0.639,2000
Viet Nam,0.604,2000
Algeria,0.651,2000
Cuba,0.697,2000
Dominica,0.721,2000
Paraguay,0.664,2000
Egypt,0.639,2000
Jordan,0.672,2000
Saint Lucia,0.71,2000
Mongolia,0.611,2000
Tunisia,0.654,2000
South Africa,0.618,2000
Uzbekistan,0.603,2000
Bolivia (Plurinational State of),0.63,2000
Gabon,0.652,2000
Botswana,0.594,2000
Fiji,0.668,2000
Indonesia,0.6,2000
Belize,0.671,2000
Libya,0.727,2000
Jamaica,0.659,2000
Kyrgyzstan,0.627,2000
Philippines,0.632,2000
Morocco,0.528,2000
Venezuela (Bolivarian Republic of),0.703,2000
Samoa,0.676,2000
Nicaragua,0.593,2000
Eswatini (Kingdom of),0.493,2000
Iraq,0.592,2000
Tajikistan,0.554,2000
Tuvalu,0.61,2000
Bangladesh,0.477,2000
India,0.501,2000
El Salvador,0.607,2000
Equatorial Guinea,0.508,2000
Cabo Verde,0.585,2000
Namibia,0.561,2000
Guatemala,0.563,2000
Congo,0.545,2000
Honduras,0.558,2000
Timor-Leste,0.507,2000
Ghana,0.487,2000
Kenya,0.5,2000
Nepal,0.471,2000
Lao People's Democratic Republic,0.473,2000
Angola,0.391,2000
Micronesia (Federated States of),0.596,2000
Myanmar,0.415,2000
Cambodia,0.438,2000
Comoros,0.461,2000
Zimbabwe,0.458,2000
Zambia,0.429,2000
Cameroon,0.439,2000
Solomon Islands,0.547,2000
Côte d'Ivoire,0.419,2000
