country,variable,percentile,year,value,source_alpha2
AD,gptincj992,p0p100,1980,0.4472,AD
AD,gptincj992,p0p100,1981,0.449,AD
AD,gptincj992,p0p100,1982,0.4496,AD
AD,gptincj992,p0p100,1983,0.449,AD
AD,gptincj992,p0p100,1984,0.4526,AD
AD,gptincj992,p0p100,1985,0.457,AD
AD,gptincj992,p0p100,1986,0.4527,AD
AD,gptincj992,p0p100,1987,0.4504,AD
AD,gptincj992,p0p100,1988,0.4451,AD
AD,gptincj992,p0p100,1989,0.4456,AD
AD,gptincj992,p0p100,1990,0.4446,AD
AD,gptincj992,p0p100,1991,0.4421,AD
AD,gptincj992,p0p100,1992,0.45,AD
AD,gptincj992,p0p100,1993,0.4572,AD
AD,gptincj992,p0p100,1994,0.4655,AD
AD,gptincj992,p0p100,1995,0.463,AD
AD,gptincj992,p0p100,1996,0.4645,AD
AD,gptincj992,p0p100,1997,0.472,AD
AD,gptincj992,p0p100,1998,0.4715,AD
AD,gptincj992,p0p100,1999,0.4719,AD
AD,gptincj992,p0p100,2000,0.4785,AD
AD,gptincj992,p0p100,2001,0.4762,AD
AD,gptincj992,p0p100,2002,0.4709,AD
AD,gptincj992,p0p100,2003,0.4733,AD
AD,gptincj992,p0p100,2004,0.4809,AD
AD,gptincj992,p0p100,2005,0.4814000000000001,AD
AD,gptincj992,p0p100,2006,0.4874,AD
AD,gptincj992,p0p100,2007,0.486,AD
AD,gptincj992,p0p100,2008,0.4698,AD
AD,gptincj992,p0p100,2009,0.4621,AD
AD,gptincj992,p0p100,2010,0.4815,AD
AD,gptincj992,p0p100,2011,0.4816,AD
AD,gptincj992,p0p100,2012,0.4771,AD
AD,gptincj992,p0p100,2013,0.4815,AD
AD,gptincj992,p0p100,2014,0.4849,AD
AD,gptincj992,p0p100,2015,0.4841,AD
AD,gptincj992,p0p100,2016,0.4843,AD
AD,gptincj992,p0p100,2017,0.4839,AD
AD,gptincj992,p0p100,2018,0.4823,AD
AD,gptincj992,p0p100,2019,0.4792,AD
AD,gptincj992,p0p100,2020,0.4795,AD
AD,gptincj992,p0p100,2021,0.4846,AD
AD,gptincj992,p0p100,2022,0.4846,AD
AD,gptincj992,p0p100,2023,0.4846,AD
AD,gptincj992,p0p100,2024,0.4846,AD
AD,sptincj992,p0p50,1980,0.203,AD
AD,sptincj992,p0p50,1981,0.2027,AD
AD,sptincj992,p0p50,1982,0.2017,AD
AD,sptincj992,p0p50,1983,0.2037,AD
AD,sptincj992,p0p50,1984,0.2021,AD
AD,sptincj992,p0p50,1985,0.1982,AD
AD,sptincj992,p0p50,1986,0.2007,AD
AD,sptincj992,p0p50,1987,0.2024,AD
AD,sptincj992,p0p50,1988,0.2079,AD
AD,sptincj992,p0p50,1989,0.2066,AD
AD,sptincj992,p0p50,1990,0.2087,AD
AD,sptincj992,p0p50,1991,0.21,AD
AD,sptincj992,p0p50,1992,0.2055,AD
AD,sptincj992,p0p50,1993,0.1992,AD
AD,sptincj992,p0p50,1994,0.1939,AD
AD,sptincj992,p0p50,1995,0.1956,AD
AD,sptincj992,p0p50,1996,0.195,AD
AD,sptincj992,p0p50,1997,0.1918,AD
AD,sptincj992,p0p50,1998,0.1926,AD
AD,sptincj992,p0p50,1999,0.1925,AD
AD,sptincj992,p0p50,2000,0.1893,AD
AD,sptincj992,p0p50,2001,0.1892,AD
AD,sptincj992,p0p50,2002,0.1919,AD
AD,sptincj992,p0p50,2003,0.1896,AD
AD,sptincj992,p0p50,2004,0.1821,AD
AD,sptincj992,p0p50,2005,0.1844,AD
AD,sptincj992,p0p50,2006,0.182,AD
AD,sptincj992,p0p50,2007,0.184,AD
AD,sptincj992,p0p50,2008,0.1916,AD
AD,sptincj992,p0p50,2009,0.1954,AD
AD,sptincj992,p0p50,2010,0.184,AD
AD,sptincj992,p0p50,2011,0.1833,AD
AD,sptincj992,p0p50,2012,0.1846,AD
AD,sptincj992,p0p50,2013,0.1816,AD
AD,sptincj992,p0p50,2014,0.1805,AD
AD,sptincj992,p0p50,2015,0.1808,AD
AD,sptincj992,p0p50,2016,0.1814,AD
AD,sptincj992,p0p50,2017,0.1826,AD
AD,sptincj992,p0p50,2018,0.1842,AD
AD,sptincj992,p0p50,2019,0.186,AD
AD,sptincj992,p0p50,2020,0.1852,AD
AD,sptincj992,p0p50,2021,0.1834,AD
AD,sptincj992,p0p50,2022,0.184,AD
AD,sptincj992,p0p50,2023,0.184,AD
AD,sptincj992,p0p50,2024,0.184,AD
AD,sptincj992,p90p100,1980,0.3228,AD
AD,sptincj992,p90p100,1981,0.323,AD
AD,sptincj992,p90p100,1982,0.3224,AD
AD,sptincj992,p90p100,1983,0.3236,AD
AD,sptincj992,p90p100,1984,0.327,AD
AD,sptincj992,p90p100,1985,0.329,AD
AD,sptincj992,p90p100,1986,0.3256,AD
AD,sptincj992,p90p100,1987,0.3253,AD
AD,sptincj992,p90p100,1988,0.3245,AD
AD,sptincj992,p90p100,1989,0.3262,AD
AD,sptincj992,p90p100,1990,0.3253,AD
AD,sptincj992,p90p100,1991,0.3232,AD
AD,sptincj992,p90p100,1992,0.332,AD
AD,sptincj992,p90p100,1993,0.3343,AD
AD,sptincj992,p90p100,1994,0.3416,AD
AD,sptincj992,p90p100,1995,0.3386,AD
AD,sptincj992,p90p100,1996,0.3404,AD
AD,sptincj992,p90p100,1997,0.3482,AD
AD,sptincj992,p90p100,1998,0.3495,AD
AD,sptincj992,p90p100,1999,0.3499,AD
AD,sptincj992,p90p100,2000,0.3556,AD
AD,sptincj992,p90p100,2001,0.3512,AD
AD,sptincj992,p90p100,2002,0.346,AD
AD,sptincj992,p90p100,2003,0.3472,AD
AD,sptincj992,p90p100,2004,0.3498,AD
AD,sptincj992,p90p100,2005,0.3523,AD
AD,sptincj992,p90p100,2006,0.3596,AD
AD,sptincj992,p90p100,2007,0.3607,AD
AD,sptincj992,p90p100,2008,0.3424,AD
AD,sptincj992,p90p100,2009,0.3346,AD
AD,sptincj992,p90p100,2010,0.3515,AD
AD,sptincj992,p90p100,2011,0.3505,AD
AD,sptincj992,p90p100,2012,0.3439,AD
AD,sptincj992,p90p100,2013,0.3464,AD
AD,sptincj992,p90p100,2014,0.3509,AD
AD,sptincj992,p90p100,2015,0.3499,AD
AD,sptincj992,p90p100,2016,0.3515,AD
AD,sptincj992,p90p100,2017,0.353,AD
AD,sptincj992,p90p100,2018,0.3528,AD
AD,sptincj992,p90p100,2019,0.3505,AD
AD,sptincj992,p90p100,2020,0.3489,AD
AD,sptincj992,p90p100,2021,0.3557,AD
AD,sptincj992,p90p100,2022,0.3571,AD
AD,sptincj992,p90p100,2023,0.3571,AD
AD,sptincj992,p90p100,2024,0.3571,AD
AD,sptincj992,p99p100,1980,0.0909,AD
AD,sptincj992,p99p100,1981,0.0907,AD
AD,sptincj992,p99p100,1982,0.0904,AD
AD,sptincj992,p99p100,1983,0.0915,AD
AD,sptincj992,p99p100,1984,0.0935,AD
AD,sptincj992,p99p100,1985,0.0937,AD
AD,sptincj992,p99p100,1986,0.0935,AD
AD,sptincj992,p99p100,1987,0.0928,AD
AD,sptincj992,p99p100,1988,0.0933,AD
AD,sptincj992,p99p100,1989,0.0944,AD
AD,sptincj992,p99p100,1990,0.0923,AD
AD,sptincj992,p99p100,1991,0.0915,AD
AD,sptincj992,p99p100,1992,0.0951,AD
AD,sptincj992,p99p100,1993,0.0962,AD
AD,sptincj992,p99p100,1994,0.1007,AD
AD,sptincj992,p99p100,1995,0.0975,AD
AD,sptincj992,p99p100,1996,0.1009,AD
AD,sptincj992,p99p100,1997,0.1068,AD
AD,sptincj992,p99p100,1998,0.1081,AD
AD,sptincj992,p99p100,1999,0.1088,AD
AD,sptincj992,p99p100,2000,0.1129,AD
AD,sptincj992,p99p100,2001,0.1086,AD
AD,sptincj992,p99p100,2002,0.105,AD
AD,sptincj992,p99p100,2003,0.1074,AD
AD,sptincj992,p99p100,2004,0.1114,AD
AD,sptincj992,p99p100,2005,0.1133,AD
AD,sptincj992,p99p100,2006,0.12,AD
AD,sptincj992,p99p100,2007,0.1198,AD
AD,sptincj992,p99p100,2008,0.1078,AD
AD,sptincj992,p99p100,2009,0.0988,AD
AD,sptincj992,p99p100,2010,0.1093,AD
AD,sptincj992,p99p100,2011,0.1087,AD
AD,sptincj992,p99p100,2012,0.1025,AD
AD,sptincj992,p99p100,2013,0.104,AD
AD,sptincj992,p99p100,2014,0.1086,AD
AD,sptincj992,p99p100,2015,0.1066,AD
AD,sptincj992,p99p100,2016,0.1078,AD
AD,sptincj992,p99p100,2017,0.1079,AD
AD,sptincj992,p99p100,2018,0.1084,AD
AD,sptincj992,p99p100,2019,0.105,AD
AD,sptincj992,p99p100,2020,0.1059,AD
AD,sptincj992,p99p100,2021,0.1141,AD
AD,sptincj992,p99p100,2022,0.1151,AD
AD,sptincj992,p99p100,2023,0.1151,AD
AD,sptincj992,p99p100,2024,0.1151,AD
AE,gptincj992,p0p100,1820,0.6089,AE
AE,gptincj992,p0p100,1850,0.6204000000000001,AE
AE,gptincj992,p0p100,1880,0.6244000000000001,AE
AE,gptincj992,p0p100,1900,0.6402,AE
AE,gptincj992,p0p100,1910,0.6659,AE
AE,gptincj992,p0p100,1920,0.6773,AE
AE,gptincj992,p0p100,1930,0.6781,AE
AE,gptincj992,p0p100,1940,0.6739,AE
AE,gptincj992,p0p100,1950,0.6259,AE
AE,gptincj992,p0p100,1960,0.6759000000000001,AE
AE,gptincj992,p0p100,1970,0.7256,AE
AE,gptincj992,p0p100,1980,0.6624,AE
AE,gptincj992,p0p100,1981,0.6624,AE
AE,gptincj992,p0p100,1982,0.6624,AE
AE,gptincj992,p0p100,1983,0.6624,AE
AE,gptincj992,p0p100,1984,0.6624,AE
AE,gptincj992,p0p100,1985,0.6624,AE
AE,gptincj992,p0p100,1986,0.6624,AE
AE,gptincj992,p0p100,1987,0.6624,AE
AE,gptincj992,p0p100,1988,0.6624,AE
AE,gptincj992,p0p100,1989,0.6624,AE
AE,gptincj992,p0p100,1990,0.6624,AE
AE,gptincj992,p0p100,1991,0.6624,AE
AE,gptincj992,p0p100,1992,0.6624,AE
AE,gptincj992,p0p100,1993,0.6624,AE
AE,gptincj992,p0p100,1994,0.6624,AE
AE,gptincj992,p0p100,1995,0.6624,AE
AE,gptincj992,p0p100,1996,0.6624,AE
AE,gptincj992,p0p100,1997,0.6624,AE
AE,gptincj992,p0p100,1998,0.6624,AE
AE,gptincj992,p0p100,1999,0.6636000000000001,AE
AE,gptincj992,p0p100,2000,0.6648000000000001,AE
AE,gptincj992,p0p100,2001,0.6662,AE
AE,gptincj992,p0p100,2002,0.6676000000000001,AE
AE,gptincj992,p0p100,2003,0.6691,AE
AE,gptincj992,p0p100,2004,0.6707000000000001,AE
AE,gptincj992,p0p100,2005,0.6725,AE
AE,gptincj992,p0p100,2006,0.6743,AE
AE,gptincj992,p0p100,2007,0.6762,AE
AE,gptincj992,p0p100,2008,0.6783,AE
AE,gptincj992,p0p100,2009,0.6806,AE
AE,gptincj992,p0p100,2010,0.6658000000000001,AE
AE,gptincj992,p0p100,2011,0.651,AE
AE,gptincj992,p0p100,2012,0.6364000000000001,AE
AE,gptincj992,p0p100,2013,0.6219,AE
AE,gptincj992,p0p100,2014,0.6255000000000001,AE
AE,gptincj992,p0p100,2015,0.6191,AE
AE,gptincj992,p0p100,2016,0.6127,AE
AE,gptincj992,p0p100,2017,0.6061000000000001,AE
AE,gptincj992,p0p100,2018,0.5994,AE
AE,gptincj992,p0p100,2019,0.5994,AE
AE,gptincj992,p0p100,2020,0.5994,AE
AE,gptincj992,p0p100,2021,0.5994,AE
AE,gptincj992,p0p100,2022,0.5994,AE
AE,gptincj992,p0p100,2023,0.5994,AE
AE,gptincj992,p0p100,2024,0.5994,AE
AE,sptincj992,p0p50,1820,0.1171,AE
AE,sptincj992,p0p50,1850,0.1146,AE
AE,sptincj992,p0p50,1880,0.1119,AE
AE,sptincj992,p0p50,1900,0.1089,AE
AE,sptincj992,p0p50,1910,0.0997,AE
AE,sptincj992,p0p50,1920,0.0965,AE
AE,sptincj992,p0p50,1930,0.0965,AE
AE,sptincj992,p0p50,1940,0.0976,AE
AE,sptincj992,p0p50,1950,0.1126,AE
AE,sptincj992,p0p50,1960,0.0975,AE
AE,sptincj992,p0p50,1970,0.0822,AE
AE,sptincj992,p0p50,1980,0.1008,AE
AE,sptincj992,p0p50,1981,0.1008,AE
AE,sptincj992,p0p50,1982,0.1008,AE
AE,sptincj992,p0p50,1983,0.1008,AE
AE,sptincj992,p0p50,1984,0.1008,AE
AE,sptincj992,p0p50,1985,0.1008,AE
AE,sptincj992,p0p50,1986,0.1008,AE
AE,sptincj992,p0p50,1987,0.1008,AE
AE,sptincj992,p0p50,1988,0.1008,AE
AE,sptincj992,p0p50,1989,0.1008,AE
AE,sptincj992,p0p50,1990,0.1008,AE
AE,sptincj992,p0p50,1991,0.1008,AE
AE,sptincj992,p0p50,1992,0.1008,AE
AE,sptincj992,p0p50,1993,0.1008,AE
AE,sptincj992,p0p50,1994,0.1008,AE
AE,sptincj992,p0p50,1995,0.1008,AE
AE,sptincj992,p0p50,1996,0.1008,AE
AE,sptincj992,p0p50,1997,0.1008,AE
AE,sptincj992,p0p50,1998,0.1008,AE
AE,sptincj992,p0p50,1999,0.1001,AE
AE,sptincj992,p0p50,2000,0.0993,AE
AE,sptincj992,p0p50,2001,0.0984,AE
AE,sptincj992,p0p50,2002,0.0975,AE
AE,sptincj992,p0p50,2003,0.0966,AE
AE,sptincj992,p0p50,2004,0.0956,AE
AE,sptincj992,p0p50,2005,0.0945,AE
AE,sptincj992,p0p50,2006,0.0934,AE
AE,sptincj992,p0p50,2007,0.0921,AE
AE,sptincj992,p0p50,2008,0.0908,AE
AE,sptincj992,p0p50,2009,0.0894,AE
AE,sptincj992,p0p50,2010,0.0952,AE
AE,sptincj992,p0p50,2011,0.101,AE
AE,sptincj992,p0p50,2012,0.1067,AE
AE,sptincj992,p0p50,2013,0.1123,AE
AE,sptincj992,p0p50,2014,0.1106,AE
AE,sptincj992,p0p50,2015,0.1151,AE
AE,sptincj992,p0p50,2016,0.1197,AE
AE,sptincj992,p0p50,2017,0.1244,AE
AE,sptincj992,p0p50,2018,0.1291,AE
AE,sptincj992,p0p50,2019,0.1291,AE
AE,sptincj992,p0p50,2020,0.1291,AE
AE,sptincj992,p0p50,2021,0.1291,AE
AE,sptincj992,p0p50,2022,0.1291,AE
AE,sptincj992,p0p50,2023,0.1291,AE
AE,sptincj992,p0p50,2024,0.1291,AE
AE,sptincj992,p90p100,1820,0.4995,AE
AE,sptincj992,p90p100,1850,0.5101,AE
AE,sptincj992,p90p100,1880,0.5208,AE
AE,sptincj992,p90p100,1900,0.5335,AE
AE,sptincj992,p90p100,1910,0.5713,AE
AE,sptincj992,p90p100,1920,0.5852,AE
AE,sptincj992,p90p100,1930,0.5852,AE
AE,sptincj992,p90p100,1940,0.5803,AE
AE,sptincj992,p90p100,1950,0.5177,AE
AE,sptincj992,p90p100,1960,0.5809000000000001,AE
AE,sptincj992,p90p100,1970,0.6447,AE
AE,sptincj992,p90p100,1980,0.5577,AE
AE,sptincj992,p90p100,1981,0.5577,AE
AE,sptincj992,p90p100,1982,0.5577,AE
AE,sptincj992,p90p100,1983,0.5577,AE
AE,sptincj992,p90p100,1984,0.5577,AE
